"activitylabel" "subject" "tBodyAcc_X-mean()" "tBodyAcc_Y-mean()" "tBodyAcc_Z-mean()" "tBodyAcc_X-std()" "tBodyAcc_Y-std()" "tBodyAcc_Z-std()" "tGravityAcc_X-mean()" "tGravityAcc_Y-mean()" "tGravityAcc_Z-mean()" "tGravityAcc_X-std()" "tGravityAcc_Y-std()" "tGravityAcc_Z-std()" "tBodyAccJerk_X-mean()" "tBodyAccJerk_Y-mean()" "tBodyAccJerk_Z-mean()" "tBodyAccJerk_X-std()" "tBodyAccJerk_Y-std()" "tBodyAccJerk_Z-std()" "tBodyGyro_X-mean()" "tBodyGyro_Y-mean()" "tBodyGyro_Z-mean()" "tBodyGyro_X-std()" "tBodyGyro_Y-std()" "tBodyGyro_Z-std()" "tBodyGyroJerk_X-mean()" "tBodyGyroJerk_Y-mean()" "tBodyGyroJerk_Z-mean()" "tBodyGyroJerk_X-std()" "tBodyGyroJerk_Y-std()" "tBodyGyroJerk_Z-std()" "tBodyAccMag-mean()" "tBodyAccMag-std()" "tGravityAccMag-mean()" "tGravityAccMag-std()" "tBodyAccJerkMag-mean()" "tBodyAccJerkMag-std()" "tBodyGyroMag-mean()" "tBodyGyroMag-std()" "tBodyGyroJerkMag-mean()" "tBodyGyroJerkMag-std()" "fBodyAcc_X-mean()" "fBodyAcc_Y-mean()" "fBodyAcc_Z-mean()" "fBodyAcc_X-std()" "fBodyAcc_Y-std()" "fBodyAcc_Z-std()" "fBodyAccJerk_X-mean()" "fBodyAccJerk_Y-mean()" "fBodyAccJerk_Z-mean()" "fBodyAccJerk_X-std()" "fBodyAccJerk_Y-std()" "fBodyAccJerk_Z-std()" "fBodyGyro_X-mean()" "fBodyGyro_Y-mean()" "fBodyGyro_Z-mean()" "fBodyGyro_X-std()" "fBodyGyro_Y-std()" "fBodyGyro_Z-std()" "fBodyAccMag-mean()" "fBodyAccMag-std()" "fBodyBodyAccJerkMag-mean()" "fBodyBodyAccJerkMag-std()" "fBodyBodyGyroMag-mean()" "fBodyBodyGyroMag-std()" "fBodyBodyGyroJerkMag-mean()" "fBodyBodyGyroJerkMag-std()"
"SITTING" 16 101.706803177 -5.80358471211 -39.258596347 -244.5471083773 -237.8806268488 -220.9980842733 256.531643693 -22.151637373 14.7159646262 -355.44325416 -353.0902723 -345.977614482 28.3828932047 3.235507081469 -0.526051820365 -266.39739813 -269.039352484 -281.0415360731 -4.47769695014 -26.5146798257 26.723294246 -292.62960888 -296.50543294 -269.972568274 -39.29435101726 -15.24813348319 -19.74461703797 -314.13733121 -318.26376213 -306.35661294 -225.50398878139 -242.18940672 -225.50398878139 -242.18940672 -265.440354598 -263.3908123353 -262.84977188 -287.24516888 -314.92337232 -320.17686064 -256.5239639271 -245.79540583816 -241.92232102672 -240.45067049138 -242.2350981655 -221.6667014624 -272.54630723 -273.997482568 -275.342594981 -268.92828560038 -270.2669897066 -286.244762616 -289.0595338154 -298.64213959 -276.80091087 -294.62701033 -296.24825002 -277.059672505 -244.1082780183 -260.8412426201 -261.01934661645 -267.1321999497 -299.06914783 -293.560629768 -319.43465548 -324.47115567
"SITTING" 17 72.513961568 -4.521820752 -29.15539897587 -192.5501292011 -185.16471992483 -188.3527368178 193.62053585 -2.71729687 -12.4964086145 -258.15982787 -254.58024542 -252.12748405 21.9129747779 2.6938079816 -0.84637148435 -204.644183059 -200.8180851217 -224.49175504 -5.189924002624 -20.904009637878 21.0922959153 -222.98645789 -214.57538471 -212.9971413123 -27.4252071474 -10.71636941205 -13.96836560965 -228.9368976 -222.42496156 -230.88506979 -181.9163575106 -194.7395351326 -181.9163575106 -194.7395351326 -205.5765492625 -205.0247296983 -202.63907327765 -219.43036931 -225.19333738 -226.27984201 -199.58140488313 -190.20829041522 -203.570012142 -190.0702931278 -187.5635545597 -186.4367781195 -210.7761515665 -207.115056328 -223.00995596 -203.8085149737 -198.4450367253 -225.6209191 -218.367176539 -215.03756235 -214.94672752 -224.72796876 -214.73943067 -217.239042355 -196.2767679019 -204.9080035899 -205.2614308995 -205.1883846236 -220.30786467 -227.32601786 -227.43023831 -227.84344568
"STANDING" 17 28.32891212 -1.93348970675 -11.030146976 -31.36140054333 -23.49323763805 -54.74171725 63.58843154 -2.33707204 5.981247229 -99.4521404 -98.26185168 -97.11894664 8.0444540163 0.43032681629 1.84103136485 -46.553756326 -45.2612410227 -74.81720328 -0.2081273128 -9.533611203 7.25292777487 -56.32963425 -66.89568624 -52.235560922 -12.2651277609 -3.69890623864 -4.74430599052 -61.18987964 -81.53886634 -66.55140968 -27.24278831594 -39.3358726623 -27.24278831594 -39.3358726623 -50.72264332 -50.34754357 -46.1970520909 -56.623086726 -73.04793231 -77.41435484 -40.2737910452 -31.23253604855 -61.00264022 -28.341450692 -24.7467060717 -55.20046086 -52.96268557 -48.554723978 -72.32063725 -45.1600232746 -45.5972519865 -77.17012401 -49.7982547755 -70.06869296 -52.53695784 -58.6530903014 -65.43193901 -56.958301516 -41.5208410744 -48.1055915179 -51.44637481 -49.686862041 -62.86760227 -60.53554018 -77.68756603 -78.95853084
"STANDING" 19 97.100455358 -6.553134565571 -42.579784835778 -206.87721225091 -182.53263059735 -233.7065015605 171.11628576 34.70589456 83.88410443023 -344.98456123 -345.33138033 -339.04810251 27.87016131959 4.16924719059152 -0.670315860705 -205.59177581259 -205.6720285556 -253.9234714287 -13.8860623204744 -24.5311417144 31.80994529613 -229.6043692472 -231.79186820171 -232.4455963881 -32.253819302 -13.79551452013 -20.50737999433 -222.7810343884 -261.3568970246 -247.20645017937 -191.34265036009 -215.83899629507 -191.34265036009 -215.83899629507 -207.4410889965 -216.6906790339 -197.6110805276 -219.6336170665 -246.0371550568 -261.2155315833 -211.33812783511 -187.87970757952 -232.92946738225 -205.5232709361 -191.12457060805 -244.9048977494 -213.53658090286 -214.8101798173 -245.132817545 -211.2876464331 -206.13482023608 -262.26788453959 -199.1122473394 -230.8814279344 -216.94511081462 -239.78567361596 -234.0379448452 -250.102467177 -200.30560018847 -248.349931241 -207.38327321242 -230.7920421088 -229.0636799277 -238.4373485325 -259.026843151 -271.520546199
"STANDING" 21 113.206342413 -7.20791480532 -44.3816200801 -274.30813789 -230.75875765721 -273.205699776 263.476590786 -30.639293315 13.131552394 -393.95934686 -395.48697393 -388.86234927 33.5460812909 1.4284388186262 -4.34890164989 -285.50344443596 -271.384922227093 -318.98415180506 -11.274942883586 -32.01656526303 35.1374768692 -324.838293055 -312.14356634 -286.26994762782 -41.0277936988 -16.656034588024 -21.78153069379 -323.333127942 -332.87060909 -331.30306337 -253.0861778979 -269.359973916 -253.0861778979 -269.359973916 -287.0122005589 -277.4682413332 -283.061923603 -310.6116728182 -329.58950048 -336.22867918 -282.9423276348 -242.2615113728 -288.7472300009 -271.462662678 -236.1294234274 -275.6399826537 -292.2969656318 -276.8749684414 -313.0796105146 -289.5986971824 -275.0337631473 -324.32850797884 -306.83265809 -309.804891643 -289.46433955 -330.898897725 -314.72643408 -297.1542763301 -268.735205562 -291.4530616001 -277.33497460222 -278.9598519867 -316.80100855 -323.608678722 -337.12021063 -340.65954421
"STANDING" 22 88.2004285048 -5.401582690884 -34.8831909473 -175.29488215113 -157.67148482353 -210.2837868915 195.61447085 10.114667728 75.72000433827 -307.67993298 -307.3007129931 -301.445009381 25.39209928641 4.89757617849 -2.32042328508 -187.7733659528 -179.9109075966 -244.11037062 -2.57002436954 -30.4841218532 26.0782513672 -223.3900641503 -251.68078223 -210.081023203 -35.07167734661 -12.34618078238 -18.68683182196 -227.556485974 -276.03573877 -238.269560771 -161.81584265032 -191.30118700322 -161.81584265032 -191.30118700322 -195.737078395 -189.33322807311 -204.6908208144 -217.1175182677 -255.0927009 -265.30439681 -190.9724183131 -163.1234618042 -220.630028529 -169.7957788342 -165.5014924496 -213.6309569035 -193.9652779619 -184.3561146065 -237.44428046 -193.38901524345 -185.021772319792 -250.46111755 -205.303785088 -254.03931843 -206.519632082 -229.507907005 -251.03679154 -221.708103097 -184.360945918 -216.3206843118 -187.9270429866 -192.3710881956 -233.74153318 -224.571627681 -266.4916181 -268.22670706
"STANDING" 23 101.7394907596 -7.2872042687 -40.58296144731 -231.6049827897 -197.93321934104 -167.6072796685 246.38480238 5.4389821416 19.29424374904 -358.75421099 -357.23863344 -347.53584654 28.96348162939 7.457519896995 -0.266977288062 -226.2443556811 -230.2610177528 -224.33414228061 -8.21712355009 -30.72619425165 27.78651854465 -281.13476859 -186.125807104 -226.8022440777 -35.9720554248 -16.0972859949 -23.13687827918 -271.07347546 -203.1282168385 -275.47275027 -198.1847696803 -210.39413279468 -198.1847696803 -210.39413279468 -218.1410498758 -207.8458168773 -202.44536276922 -201.6050554018 -231.9095028155 -213.50675434404 -222.8580897522 -204.035753727 -182.3591676205 -235.7881505704 -206.26346480829 -176.61352626237 -229.7181232173 -233.7020578821 -215.3399414076 -236.2402187489 -236.9556709426 -233.4450167668 -254.870778565 -185.1755776959 -229.778975026 -289.861304112 -188.9204036379 -239.6167456923 -196.7988936919 -244.4221974854 -201.8707548382 -217.1856190023 -198.8924753063 -235.2113321198 -217.2893105294 -220.8695323832
"STANDING" 25 93.7319113088 -6.34206652752 -37.37830146 -269.20097845 -209.1720466632 -240.638309343 211.2081623 30.119377008 94.71595202503 -323.73640507 -305.261557164 -299.054953999 26.45533397933 2.71549998017 -3.173603239251 -288.99009271 -266.08912629 -303.07202326 -4.208275245 -26.62868120227 34.97943164453 -255.795000866 -277.70895044 -272.50613245 -36.57922918818 -13.39891590673 -19.10464430232 -280.31888641 -315.9273893 -297.20247732 -222.328401865 -245.708373454 -222.328401865 -245.708373454 -283.91777553 -282.80040712 -240.19208166 -256.7782029006 -301.74754015 -308.52767391 -276.88804168 -230.189045574 -266.12028105 -266.58230344 -207.9005513249 -236.0947831359 -291.15420547 -270.92081395 -299.95310954 -291.53519302 -266.01663274 -305.7373243 -254.245184046 -292.66427186 -272.67069546 -257.430776176 -270.62258973 -278.96303188 -258.679504234 -254.794619046 -283.2407341 -282.49417013 -276.14587053 -259.732496988 -309.64395853 -309.44824602
"WALKING" 2 82.480160968 -5.77796013188 -34.926287369 -182.8871221421 -129.54682195 -177.9867387876 199.55642574 -44.460405846944 40.7293311974 -290.83068349 -289.93013517 -285.50034594 23.71766533377 2.14048917429 0.22823974601 -168.4585001434 -148.5465187292 -224.04938727 -15.6143258662 -17.1662896419 26.3525025532 -214.6159762004 -218.32898965 -191.7364562086 -26.4427422484 -13.1064024307 -16.8377632113 -202.8470892 -236.645830952 -203.7328038545 -161.6551037636 -166.9493887844 -161.6551037636 -166.9493887844 -177.5087885215 -154.6588140814 -185.66085857773 -205.53663614 -225.46098079 -223.506797564 -173.2788152517 -130.63510755331 -190.2845290817 -187.1760070466 -140.3466065998 -181.4049416802 -169.6279789859 -153.6889473024 -216.155089782 -179.7218950943 -153.7625581895 -231.66027868 -192.8927437671 -218.064831548 -181.6816566756 -221.845739135 -219.60465779 -206.300577351 -155.4000981177 -195.2920171541 -153.9434227572 -156.6778409082 -211.322369457 -219.043721982 -226.987753665 -224.746884395
"WALKING" 4 86.916046345 -4.694184987434 -34.084293567 -191.852117708 -161.64761473159 -224.9091973 223.98999467 35.6914089725447 52.029494228 -305.15592243 -298.429125653 -298.424886065 24.9998196913 1.11375080996 -2.33747920278 -200.29742740281 -185.1480358905 -267.34297428 -9.17454764897 -24.9551880768 30.3424432525 -222.343071968 -253.04073235 -230.26062047 -34.1914030811 -12.6935541168 -18.32543093682 -229.44099185 -286.09332186 -237.233017797 -178.0215368289 -192.278267707 -178.0215368289 -192.278267707 -207.98887085863 -205.178239479 -208.0442767496 -224.036102453 -259.68366367 -267.60729934 -199.331622175 -166.68955747 -239.40963096 -189.42376975735 -169.48770321641 -224.67820186 -206.6913157383 -190.73770293176 -261.57409415 -204.3451754913 -188.2520830333 -272.79265987 -203.4765868846 -263.59422733 -218.510936016 -228.794492383 -248.17477827 -243.16739463 -190.8650779438 -213.324624315 -201.3010247151 -211.282629903 -236.371289211 -232.22985863 -265.91012746 -273.6017059
"WALKING" 9 77.850386387 -6.032636795877 -29.1553419496 -160.029084827 -165.8557138212 -145.76019151156 193.20351712 -13.46247358586 30.05385207343 -276.12998386 -273.58217718 -265.119643531 24.1969371924 1.95403924339 -0.296634494 -166.5518864717 -195.530075215 -207.823707236 -20.19796285137 -21.02066821416 31.41875901254 -194.81828906 -193.103487562 -169.21661537994 -25.69694200244 -11.4435193483 -15.38003067318 -219.37272957 -222.70287711 -214.46093903 -145.492839506646 -159.27501753066 -145.492839506646 -159.27501753066 -179.0231745866 -175.3522978708 -158.4581375729 -191.00113489 -219.73811931 -226.41894491 -166.8264204697 -175.757127578 -170.53030736763 -157.8227745335 -168.988631971 -144.30931400618 -178.9566166981 -201.532784996 -202.444395263 -164.97212939539 -195.570966241 -212.87229774 -184.280607233 -196.970194829 -176.4519733912 -198.918689914 -192.154527579 -178.4069666288 -159.317697109 -179.8435662287 -175.4477919189 -176.146370839 -201.84857222 -200.946076595 -226.50449881 -230.77333228
"WALKING" 10 81.393451334 -5.24372242241 -32.7226504626 -158.115467082 -146.2373303796 -180.74442395455 189.01428471 -21.76330721 16.230188499577 -283.94758917 -280.63007733 -275.979689851 23.464393224 3.79681176926 -3.33857485745 -155.638664997 -158.82956604619 -220.714402667 -5.43969666052 -24.884268032973 26.76179134925 -198.1282411887 -173.8519476272 -175.8538446146 -31.7963439854 -12.47206751995 -16.33232555896 -206.75358892 -225.98068304 -201.919274305 -147.73506085806 -160.332550325676 -147.73506085806 -160.332550325676 -169.862007798769 -155.6261011583 -153.4150218916 -183.57606060752 -215.93294677 -226.03361772 -156.493102567 -145.4275334251 -192.5883083242 -159.1040297066 -156.44774080682 -184.0063009924 -160.8894537094 -163.20073874767 -212.1767720263 -162.70062274821 -163.5438872921 -229.07544234 -182.39148740791 -190.615075055 -166.8322585462 -203.640353003 -166.387441275 -189.9086298202 -152.5078098068 -186.1596566251 -151.451398389 -162.59004372677 -194.479986531 -195.808296104 -225.72734795 -231.42041161
"WALKING" 12 87.55479175 -5.86790541167648 -34.127717368 -186.8679062608 -167.0528074992 -223.773930037 223.751184422 9.5925682352 10.56945743714 -309.56269903 -307.3833307 -302.97874038 22.537699621 1.69969209534 0.0985959578880002 -186.373845631 -182.83514146625 -253.6390196 -20.11723112119 -18.9448746872 30.74374869882 -232.9221455946 -235.22010439 -214.738457129 -23.3963000741 -13.9772235174 -18.38672126353 -227.112367839 -259.59443178 -239.792595283 -179.0676946161 -183.8036782376 -179.0676946161 -183.8036782376 -201.6161573944 -181.2370187511 -202.1337788476 -219.15457817064 -248.73423303 -251.6436905 -185.2544674814 -167.4518651941 -232.52490064 -187.8152249247 -176.9845245245 -227.19463524 -191.71498168199 -189.21485535111 -248.13650642 -192.9472202751 -185.33377718815 -258.74656013 -211.5989843479 -238.33540729 -210.358372667 -240.126034657 -234.70615408 -226.63460936 -178.9707767892 -208.1706501056 -180.5565422011 -182.9167642097 -229.5397365586 -230.220181059 -252.768912318 -255.15566646
